	number	user_login	created_at	closed_at	merged_at	title
130	356	Liujingfang1	2018-03-16 22:06:35	2018-03-16 22:40:26	2018-03-16 22:40:26	Update directories in test script
131	355	Liujingfang1	2018-03-16 20:19:15	2018-03-16 20:26:25	2018-03-16 20:26:25	Update main.sh to exit non-zero when there is a failure
132	354	apelisse	2018-03-14 17:12:45	2018-03-16 20:53:25	2018-03-16 20:53:25	unstructpath: Create json path type package.
133	352	mengqiy	2018-03-12 22:53:55	2018-03-12 23:54:10	2018-03-12 23:54:10	fix bug when update name ref in multi layer setup
134	351	Liujingfang1	2018-03-12 22:49:39	2018-03-13 17:19:11	2018-03-13 17:19:11	Add testing script to invoke example testing
135	350	mengqiy	2018-03-12 19:26:45	2018-03-12 22:08:11	2018-03-12 22:08:11	cleanup Resouce slice related code
136	349	mengqiy	2018-03-10 00:37:41	2018-03-10 00:51:13	2018-03-10 00:51:13	Rename KObject to ResourceCollection
137	348	jberkhahn	2018-03-09 00:02:47	2018-03-22 21:45:03	2018-03-22 21:45:03	Use passed-in context in pluginutils config initializer
138	344	mengqiy	2018-03-08 01:57:26	2018-03-08 22:01:13	2018-03-08 22:01:13	appending name hash only applies to current layer
139	343	Liujingfang1	2018-03-07 17:05:54	2018-03-07 17:14:54	2018-03-07 17:14:54	Remove package tree
140	341	Liujingfang1	2018-03-06 22:33:06	2018-03-07 00:49:53	2018-03-07 00:49:53	Add util functions to read/write manifest file and update sub commands
141	340	mengqiy	2018-03-06 01:56:59	2018-03-06 18:37:54	2018-03-06 18:37:54	fall back to JSON merge patch for types w/o schema (CRD)
142	334	Liujingfang1	2018-03-02 22:31:41	2018-03-05 21:32:51	2018-03-05 21:32:51	Update inflate/diff and corresponding tests
143	333	Liujingfang1	2018-03-02 20:56:58	2018-03-02 22:08:54	2018-03-02 22:08:54	Change inflate to use Application interface
144	331	mengqiy	2018-03-01 01:27:24	2018-03-01 22:13:30	2018-03-01 22:13:30	update resource package
145	329	Liujingfang1	2018-02-27 23:49:08	2018-02-28 00:03:47	2018-02-28 00:03:47	Add nameHashTransformer
146	328	seans3	2018-02-27 23:31:42	2018-02-28 22:58:56	2018-02-28 22:58:56	Simplified Loader.New() to always take a directory
147	327	seans3	2018-02-27 20:43:57	2018-02-27 21:30:48	2018-02-27 21:30:48	Update FakeLoader for simpler interface; FakeLoader uses real Loader
148	324	Liujingfang1	2018-02-27 17:37:41	2018-03-01 17:00:37		Modify Encode function
149	323	seans3	2018-02-26 23:45:43	2018-02-27 00:45:46	2018-02-27 00:45:46	Move fake loader into its own package; Update loader test
150	322	mengqiy	2018-02-26 21:52:25	2018-03-02 20:40:52	2018-03-02 20:40:52	implement Resources func for applicationImpl
151	321	Liujingfang1	2018-02-26 21:30:40	2018-02-26 21:38:47	2018-02-26 21:38:47	change function name from ResourceFromPath to NewFromPath
152	320	Liujingfang1	2018-02-26 19:44:50	2018-02-26 21:25:39		Change function name from ResourcesFromPath to NewFromPath
153	319	Liujingfang1	2018-02-26 17:43:44	2018-02-26 19:32:45	2018-02-26 19:32:45	Add secret resource
154	318	apelisse	2018-02-26 17:25:08	2018-02-26 18:30:46	2018-02-26 18:30:46	kinflate/transformers: Keep private things private
155	317	seans3	2018-02-24 00:50:29	2018-02-26 23:26:04	2018-02-26 23:26:04	Refactor Loader interface
156	316	droot	2018-02-23 23:56:00	2018-02-26 19:53:45	2018-02-26 19:53:45	configmap resource implementation using loader
157	315	seans3	2018-02-22 23:41:57	2018-02-23 17:23:48	2018-02-23 17:23:47	Refactor Loader interface
158	314	Liujingfang1	2018-02-22 23:29:38	2018-02-23 21:57:46	2018-02-23 21:57:46	Add appresource implementation
