	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
0	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
105	471	monopole	2018-05-08 18:42:04	2018-05-08 18:46:21	2018-05-08 18:46:21	Replace term 'instance' with 'variant'.	google		
106	470	monopole	2018-05-08 17:35:07	2018-05-08 17:40:56	2018-05-08 17:40:56	add apache license file for kustomize	google		
107	460	monopole	2018-05-01 22:44:36	2018-05-03 18:10:57	2018-05-03 18:10:57	drop unused pngs	google		
108	459	monopole	2018-05-01 22:03:54	2018-05-01 22:10:08	2018-05-01 22:10:07	Modify mysql and springboot demo to download their data from the code…	google		
109	458	monopole	2018-05-01 20:57:11	2018-05-01 20:57:19	2018-05-01 20:57:19	capture springboot demo data	google		
110	457	monopole	2018-05-01 18:50:09	2018-05-01 20:02:18	2018-05-01 20:02:18	add configGeneration to README in demos dir	google		
111	456	monopole	2018-05-01 18:05:20	2018-05-01 18:12:18	2018-05-01 18:12:18	fix glitch in hello world	google		
112	455	monopole	2018-04-30 23:00:25	2018-04-30 23:27:15	2018-04-30 23:27:15	pull helloWorld demo data into code repo	google		
113	453	monopole	2018-04-27 22:28:24	2018-04-30 22:45:16	2018-04-30 22:45:16	configmapgenerator example	google		
114	448	monopole	2018-04-24 20:06:48	2018-04-24 21:44:30	2018-04-24 21:44:30	add a tested breakfast configuration demo	google		
115	446	monopole	2018-04-17 20:49:48	2018-04-17 20:50:18	2018-04-17 20:50:18	new figs	google		
116	445	monopole	2018-04-17 18:20:29	2018-04-17 18:26:17	2018-04-17 18:26:17	kustomize.yaml becomes kustomization.yaml	google		
117	443	monopole	2018-04-16 21:01:54	2018-04-16 21:02:02	2018-04-16 21:02:02	updated figs	google		
118	442	monopole	2018-04-16 20:44:32	2018-04-16 20:50:35	2018-04-16 20:50:35	Update figs	google		
119	441	monopole	2018-04-13 20:37:06	2018-04-13 20:42:55	2018-04-13 20:42:55	Some kustomization field renaming.	google		
120	440	monopole	2018-04-13 18:22:02	2018-04-17 16:31:59	2018-04-17 16:31:59	Example kustomize.yaml	google		
121	439	monopole	2018-04-13 17:08:48	2018-04-13 18:00:01	2018-04-13 18:00:00	Drop the init command	google		
122	438	monopole	2018-04-12 23:44:11	2018-04-13 03:43:59	2018-04-13 03:43:59	manifest becomes kustomization	google		
123	437	monopole	2018-04-12 00:23:50	2018-04-12 02:51:55	2018-04-12 02:51:55	Drop k8s metadata fields from kustomize.yaml struct	google		
124	433	monopole	2018-04-11 21:00:17	2018-04-11 21:38:56	2018-04-11 21:38:56	Remove init and manifest from demos	google		
125	423	monopole	2018-04-10 21:29:23	2018-04-11 00:00:46	2018-04-11 00:00:46	Test config map names	google		
126	416	monopole	2018-04-09 18:54:36	2018-04-10 16:53:02	2018-04-10 16:53:02	structure for manifest documentation	google		
127	414	monopole	2018-04-06 22:55:27	2018-04-06 23:27:08	2018-04-06 23:27:08	Command organization - build and edit	google		
128	413	monopole	2018-04-06 22:03:02	2018-04-06 22:20:10	2018-04-06 22:20:10	README for demos	google		
129	412	monopole	2018-04-06 19:59:12	2018-04-06 20:07:30	2018-04-06 20:07:30	add tree output to demo	google		
130	411	monopole	2018-04-06 18:04:50	2018-04-06 18:18:36	2018-04-06 18:18:36	onePageHelloWorld	google		
131	410	monopole	2018-04-06 17:34:04	2018-04-06 17:37:12	2018-04-06 17:37:12	newreadme	google		
132	404	monopole	2018-04-04 21:00:39	2018-04-04 21:53:10	2018-04-04 21:53:10	Remove the -f option of inflate	google		
133	402	monopole	2018-04-04 17:17:52	2018-04-04 20:31:09	2018-04-04 20:31:09	some wording tweaks	google		
134	389	monopole	2018-04-02 23:16:41	2018-04-03 19:37:52	2018-04-03 19:37:52	add workflow figs	google		
135	388	monopole	2018-04-02 19:00:34	2018-04-02 20:50:14	2018-04-02 20:50:14	Add glossary	google		
136	382	monopole	2018-03-28 20:11:29	2018-03-28 20:23:03	2018-03-28 20:23:03	combine demos into a subdir	google		
137	381	monopole	2018-03-28 00:10:29	2018-03-28 00:13:42	2018-03-28 00:13:42	renameDemos	google		
138	380	monopole	2018-03-27 23:21:56	2018-03-27 23:29:10	2018-03-27 23:29:10	newshortdemo	google		
139	379	monopole	2018-03-27 20:20:59	2018-03-27 21:15:52	2018-03-27 21:15:52	A new hello-world demo.	google		
140	284	monopole	2018-02-13 21:27:22	2018-02-13 23:12:50	2018-02-13 23:12:50	Make test failures easier to see and understand.	google		
141	283	monopole	2018-02-13 18:48:11	2018-02-13 18:50:06	2018-02-13 18:50:05	Add links to existing demo and tutorial pages.	google		
142	273	monopole	2018-02-10 00:41:43	2018-02-10 07:26:51	2018-02-10 07:26:51	add demo testing	google		
143	272	monopole	2018-02-09 21:56:05	2018-02-09 21:56:16	2018-02-09 21:56:16	fix demo	google		
144	267	monopole	2018-02-07 16:52:00	2018-02-07 16:52:09	2018-02-07 16:52:09	tweakdemo	google		
145	264	monopole	2018-02-07 01:18:41	2018-02-07 01:18:52	2018-02-07 01:18:52	demotweak	google		
146	261	monopole	2018-02-06 23:34:21	2018-02-06 23:35:40	2018-02-06 23:35:40	add short and longer demo	google		
147	255	monopole	2018-02-05 23:44:36	2018-02-06 00:20:03	2018-02-06 00:20:03	tweakREADME	google		
148	254	monopole	2018-02-05 22:04:05	2018-02-05 22:31:58	2018-02-05 22:31:58	modifyREADME	google		
149	253	monopole	2018-02-05 21:27:13	2018-02-05 21:31:06	2018-02-05 21:31:06	add setprefixname command	google		
150	245	monopole	2018-02-02 20:46:24	2018-02-02 20:58:05	2018-02-02 20:58:05	add missing command	google		
